titolo,key,stato
Galling e grippaggio dei filetti: perché il Nitronic 60 (UNS S21800) risolve un problema che il 316 non risolve,nitronic 60,INSERITO
Corrosione galvanica nei sistemi di fissaggio: come gestire gli accoppiamenti bimetallici,corrosione galvanica bulloneria,INSERITO
PREN: come si calcola e perché conta più della sigla AISI,pren super duplex,DA FARE
Sistemi di fissaggio amagnetici: permeabilità magnetica e scelta del materiale,bulloneria amagnetica,DA FARE
Infragilimento da idrogeno: il rischio nascosto su acciai ad alta resistenza e 17-4 PH,infragilimento da idrogeno bulloneria,DA FARE
"Alloy 800, 800H e 800HT: quale scegliere alle alte temperature",alloy 800h 800ht,DA FARE
ISO 3506 e ASTM F593/F594: equivalenze per il mercato americano,iso 3506 astm f593,DA FARE
"ASTM A193 B8 Classe 1 e Classe 2: incrudimento, carichi e quando serve",astm a193 b8 classe 2,DA FARE
"Serraggio delle flange secondo ASME PCC-1: sequenza, coppia e precarico",asme pcc-1 serraggio flange,DA FARE
Antigrippanti e rivestimenti sui tiranti: effetto sul fattore K di serraggio,antigrippante fattore k,DA FARE
